Datetime,,total
2019,14:30:00,1285.1357812875
2019,14:45:00,1284.6311580749998
2019,15:00:00,1270.66790417625
2019,15:15:00,1282.3841009475
2019,15:30:00,1279.9295955375
2019,15:45:00,1287.31916673
2019,16:00:00,1276.878782865
2019,16:15:00,1264.0032973650002
2019,16:30:00,1235.6106625500001
2019,16:45:00,1251.693119775
2019,17:00:00,1263.15129104625
2019,17:15:00,1241.58855891375
2019,17:30:00,1218.7416668024998
2019,17:45:00,1185.2291353800001
2019,18:00:00,1158.12100095
2019,18:15:00,1132.19771350125
2019,18:30:00,1104.1100990587502
2019,18:45:00,1058.903028225
2019,19:00:00,1036.1497527299998
2019,19:15:00,1041.9378947249998
2019,19:30:00,984.5731578750001
2019,19:45:00,961.6903110225002
2019,20:00:00,950.1411063825
2019,20:15:00,938.5501470525
2019,20:30:00,911.128792575
2019,20:45:00,902.54381895
2019,21:00:00,880.1649122775
2019,21:15:00,870.7918487325001
2019,21:30:00,861.4650297750002
2019,21:45:00,833.4872697000001
2019,22:00:00,802.475833275
2019,22:15:00,795.5652572925001
2019,22:30:00,779.38921054875
2019,22:45:00,774.81710535
2019,23:00:00,783.4340385
2019,23:15:00,775.431578895
2019,23:30:00,766.7583333
2019,23:45:00,789.9342105
2020,00:00:00,929.8528923075
2020,00:15:00,929.68263304875
2020,00:30:00,925.01007987
2020,00:45:00,920.9574820424999
2020,01:00:00,922.0843452299999
2020,01:15:00,914.93651319
2020,01:30:00,913.06423872375
2020,01:45:00,906.5046874987501
2020,02:00:00,910.9132455524999
2020,02:15:00,909.00000003375
2020,02:30:00,909.3234375
2020,02:45:00,905.3124342112501
2020,03:00:00,913.9352678475
2020,03:15:00,902.697812595
2020,03:30:00,907.24928728875
2020,03:45:00,905.0780427750001
2020,04:00:00,899.4817479000001
2020,04:15:00,907.829692965
2020,04:30:00,905.865272535
2020,04:45:00,910.0885416487499
2020,05:00:00,903.00170195625
2020,05:15:00,908.4236982374999
2020,05:30:00,904.07241961125
2020,05:45:00,911.04455474625
2020,06:00:00,920.2115601
2020,06:15:00,930.1379890162501
2020,06:30:00,920.89918897125
2020,06:45:00,926.6842068450001
2020,07:00:00,933.8913885637501
2020,07:15:00,936.4336284000001
2020,07:30:00,942.33750000375
2020,07:45:00,951.1879464375
2020,08:00:00,942.8223684112501
2020,08:15:00,962.8282612575
2020,08:30:00,973.230232815
2020,08:45:00,970.401973695
